İşlemci,İşlemci Serisi,İşlemci Modeli,Jenerasyon,Arttırılmış Frekans(GHz),Çekirdek,Temel Frekans(GHz),uri,Ürün Adı,En Düşük Fiyat,Medyan Fiyat,İşlemci Skoru,Cluster Label,Cosine Similar,1.NearestNeighbor,2.NearestNeighbor
Ryzen 5,AMD Ryzen,AMD Ryzen 5 5500,5.Nesil,4.2,6.0,3.6,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-5500-3-6-ghz-16-mb-am4-islemci-fiyatlari,2071589079",AMD Ryzen 5 5500 3.6 GHz 16 MB AM4 İşlemci,2047.99,2265.0,19.506,3,277,1,277
Core i5,Intel Core,Intel Core i5-12600KF,12.Nesil,4.9,10.0,3.7,"https://www.cimri.com/islemci/en-ucuz-intel-alder-lake-core-i5-12600kf-4-9-ghz-1700-20-mb-islemci-fiyatlari,1030630934",Intel Alder Lake Core i5 12600KF 4.9 GHz 1700 20 MB İşlemci,6299.0,7100.0,27.422,0,376,376,70
Core i7,Intel Core,Intel Core i7-12700F,12.Nesil,4.9,12.0,2.1,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-12700f-4-80-ghz-12-cekirdek-25mb-1700p-10mm-islemci-fiyatlari,1267239915",Intel Core i7 12700F 4.80 GHz 12 Çekirdek 25MB 1700P 10MM İşlemci,6885.34,7458.0,31.146,2,133,343,99
Ryzen 7 Pro,AMD Ryzen,AMD Ryzen 7 PRO 5750G,5.Nesil,4.6,8.0,3.8,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-7-5750g-pro-4-6ghz-16mb-am4-65w-mpk-amd-islemci-fiyatlari,968008842",AMD Ryzen 7 5750G PRO 4.6GHZ 16MB AM4 65W -MPK AMD İşlemci,4689.99,6029.0,24.615,0,148,337,217
Core i5,Intel Core,Intel Core i5-13400,9.Nesil,4.1,6.0,2.9,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-9400-2-9-ghz-9-mb-akilli-onbellek-cpu-islemci-cm806-fiyatlari,424980545",Intel Core i5-9400 2.9 GHz 9 MB Akıllı Önbellek CPU İşlemci CM806,2695.0,3872.0,26.205,6,276,26,294
Core i5,Intel Core,Intel Core i5-13600,11.Nesil,4.8,6.0,2.8,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-11600-socket-1200-11-nesil-2-80ghz-12mb-onbellek-14nm-islemci-fiyatlari,812327080",Intel Core i5 11600 Socket 1200 11. Nesil 2.80GHz 12MB Önbellek 14nm İşlemci,4583.75,4999.0,32.185,6,186,186,297
Core i3,İntel Core i3,Intel Core i3-13100,,3.6,4.0,3.6,"https://www.cimri.com/islemci/en-ucuz-intel-core-i3-8100-3-60ghz-1151pin-islemci-fiyatlari,61215589",Intel Core i3-8100 3.60 GHz 4 Çekirdekli 1151Pin İşlemci,2596.0,2690.0,14.237,3,235,369,270
Core i7,Intel Core,Intel Core i7-13700KF,11.Nesil,5.0,8.0,3.6,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-11700kf-3-60ghz-16mb-1200p-islemci-fiyatlari,772629028",Intel Core i7-11700KF 3.60GHz 16MB 1200P İşlemci,5599.01,6300.0,46.472,0,12,226,373
Core i5,Intel Core,Intel Core i5-12500,12.Nesil,4.6,6.0,3.0,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-12500-4-60-ghz-6-cekirdek-18-mb-1700p-10mm-islemci-fiyatlari,1216744141",Intel Core i5 12500 4.60 GHz 6 Çekirdek 18 MB 1700P 10MM İşlemci,4748.35,5311.0,19.922,6,6,350,159
Core i5,Intel Core,Intel Core i5-13600KF,13.Nesil,5.1,14.0,3.5,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-13600kf-3-50-ghz-turbo-5-0-ghz-24-mb-cache-14-cekirdek-lga-1700-13-nesil-tray-islemci-fiyatlari,2077398763",Intel Core i5 13600KF 3.50 GHz Turbo 5.0 GHz 24 MB Cache 14 Çekirdek LGA 1700 13. Nesil Tray İşlemci,6740.5,7312.0,38.395,0,88,88,365
Core i7,Intel Core,Intel Core i7-13700,11.Nesil,4.9,8.0,2.5,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-11700-2-50ghz-4-9ghz-16mb-1200p-islemci-fiyatlari,842297224",Intel Core i7-11700 2.50GHz 4.9Ghz 16MB 1200P İşlemci,5603.66,6408.0,40.028,6,12,179,334
Core i3,Intel Core,Intel Core i3-13100,9.Nesil,4.2,4.0,3.6,"https://www.cimri.com/islemci/en-ucuz-intel-i3-9100-3-6ghz-6mb-onbellek-lga1151-soket-14nm-islemci-fiyatlari,450310126",Intel i3 9100 3.6GHz 6MB Önbellek LGA1151 Soket 14nm İşlemci,3599.0,3985.0,14.237,3,58,203,33
Core i3,Intel Core,Intel Core i3-13100F,10.Nesil,4.4,4.0,3.7,"https://www.cimri.com/islemci/en-ucuz-intel-core-ci3-10105f-3-7-ghz-6-mb-10-nesil-box-1200-islemci-fiyatlari,921181030",Intel Core CI3 10105F 3.7 Ghz 6 MB 10.Nesil Box 1200 İşlemci,1619.0,1781.0,15.378,3,108,58,336
Intel,Core i5,Intel Core i5-13500,10.Nesil,4.5,6.0,3.1,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-10500-3-1-ghz-12mb-lga1200p-islemci-fiyatlari,583764346",Intel Core i5-10500 3.1 Ghz 12MB LGA1200P İşlemci,3019.0,3580.0,32.392,6,178,178,344
Core i3,Intel Core,Intel Core i3-13100F,10.Nesil,4.3,4.0,3.6,"https://www.cimri.com/islemci/en-ucuz-intel-core-i3-10100f-3-60ghz-6mb-onbellek-4-cekirdek-1200-14nm-islemci-fiyatlari,2067747218",Intel Core i3 10100F 3.60GHz 6MB Önbellek 4 Çekirdek 1200 14nm İşlemci,1488.27,1600.0,15.378,3,58,362,5
Core i5,Intel Core,Intel Core i5-13600K,13.Nesil,5.1,14.0,3.5,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-13600k-3-50-ghz-turbo-5-10-ghz-24-mb-cache-14-cekirdek-lga-1700-13-nesil-islemci-fiyatlari,2077398768",Intel Core i5 13600K 3.50 GHz Turbo 5.10 GHz 24 MB Cache 14 Çekirdek LGA 1700 13. Nesil İşlemci,7399.0,8065.0,38.459,0,82,82,365
Ryzen 5,AMD Ryzen,AMD Ryzen 5 5600X,5.Nesil,4.6,6.0,3.7,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-5600x-3-74-6-ghz-100-100000065box-islemci-fiyatlari,1043907994",AMD Ryzen 5 5600X 3.7/4.6 GHz 100 100000065BOX İşlemci,3639.0,3874.0,21.931,0,49,129,163
Core i7,Intel Core,Intel Core i7-13700K,13.Nesil,5.4,16.0,3.4,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-13700k-3-40-ghz-turbo-5-40-ghz-30-mb-cache-16-cekirdek-lga-1700-13-nesil-tray-islemci-fiyatlari,2077398755",Intel Core i7 13700K 3.40 GHz Turbo 5.40 GHz 30 MB Cache 16 Çekirdek LGA 1700 13. Nesil Tray İşlemci,9459.0,10848.0,47.03,2,53,53,285
Pentium,İntel Pentium,Intel Pentium M 2.00GHz,3.Nesil,3.0,2.0,3.0,"https://www.cimri.com/islemci/en-ucuz-intel-pentium-g2030-3ghz-1155pin-islemci-fiyatlari,616148",Intel Pentium G2030 3.00 GHz Çift Çekirdekli 1155Pin İşlemci,152.0,191.0,270.0,1,299,145,338
Core i9,Intel Core,Intel Core i9-12900KF,12.Nesil,5.2,16.0,3.2,"https://www.cimri.com/islemci/en-ucuz-intel-core-i9-12900kf-5-20-ghz-16-cekirdek-30mb-1700p-10mm-islemci-fiyatlari,1266257738",Intel Core i9 12900KF 5.20 GHz 16 Çekirdek 30MB 1700P 10MM İşlemci,11508.0,12316.0,41.421,2,72,48,211
Ryzen Threadripper,AMD Ryzen Threadripper,AMD Ryzen Threadripper 1900X,1.Nesil,4.0,8.0,3.8,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-threadripper-1900x-3-8ghz-8-core-islemci-fiyatlari,58001948",AMD Ryzen Threadripper 1920X 3.80 GHz 8 Çekirdekli İşlemci,3890.0,3928.0,17.022,0,237,383,50
Core i7,Intel Core,Intel Core i7-13700,10.Nesil,4.8,8.0,2.9,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-10700-2-9ghz-lga1200-16mb-cache-islemci-fiyatlari,599693536",Intel Core i7 10700 2.9GHz LGA1200 16MB Cache İşlemci,4798.99,6207.0,40.028,6,57,132,57
Pentium,İntel Pentium,Intel Pentium 4 1400MHz,,3.3,2.0,3.3,"https://www.cimri.com/islemci/en-ucuz-intel-g4400-3-30ghz-3mb-cache-54w-box-lga-islemci-fiyatlari,28477114",İntel G4400 3.30 Ghz Çift Çekirdekli İşlemci,581.11,862.0,83.0,3,296,278,296
Core i3,Intel Core,Intel Core i3-12100,12.Nesil,4.3,4.0,3.3,"https://www.cimri.com/islemci/en-ucuz-intel-alder-lake-i3-12100-1700-pin-fanli-box-islemci-fiyatlari,1226866632",Intel Alder Lake i3 12100 1700 Pin Fanlı Box İşlemci,2777.65,3034.0,13.809,3,333,108,192
Core i9,Intel Core,Intel Core i9-13900KF,11.Nesil,5.3,8.0,3.5,"https://www.cimri.com/islemci/en-ucuz-intel-core-i9-11900kf-3-5ghz-lga1200-16mb-islemci-fiyatlari,774018009",Intel Core i9 11900KF 3.5GHZ LGA1200 16MB İşlemci,6999.0,7863.0,59.761,0,128,321,143
Pentium,İntel Pentium,Intel Pentium Gold 8505,,3.5,2.0,3.5,"https://www.cimri.com/islemci/en-ucuz-intel-pentium-g4560-iki-cekirdekli-islemci-fiyatlari,39332791",Intel Pentium G4560 3.50 GHz Çift Çekirdekli İşlemci,1133.93,1294.0,7.6,3,247,195,134
Core i7,Intel Core,Intel Core i7-12700,12.Nesil,4.9,12.0,2.1,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-12700-3-60ghz-25mb-12-nesil-1700p-islemci-fiyatlari,1321090107",Intel Core i7 12700 3.60GHZ 25MB 12.nesil 1700P İşlemci,7018.29,7746.0,31.142,2,133,133,343
Core i5,İntel Core i5,Intel Core i5-13500,7.Nesil,3.8,4.0,3.4,"https://www.cimri.com/islemci/en-ucuz-intel-i5-7500-3-40ghz-6mb-cache-65w-box-lga-islemci-fiyatlari,41775870",İntel i5-7500 3.40 Ghz Cache BOX LGA 4 Çekirdekli İşlemci İşlemci,2498.0,2700.0,32.392,3,369,300,272
Ryzen 7,AMD Ryzen,AMD Ryzen 7 5700G,5.Nesil,4.6,8.0,3.8,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-7-5700g-3-8-ghz-am4-20-mb-cache-65-w-islemci-fiyatlari,896498291",AMD Ryzen 7 5700G 3.8 GHz AM4 20 MB Cache 65 W İşlemci,4349.99,4812.0,24.612,0,17,340,313
Core i5,Intel Core,Intel Core i5-13500,1.Nesil,3.2,4.0,2.66,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-750-2-66-ghz-8mb-64bit-lga1156-islemci-fiyatlari,315656310",Intel Core i5 750 2.66 GHz 8MB 64BIT LGA1156 İşlemci,348.9,405.0,32.392,5,380,256,268
Core i3,Intel Core,Intel Core i3-13100,10.Nesil,4.4,4.0,3.7,"https://www.cimri.com/islemci/en-ucuz-intel-core-i3-10105-3-7-ghz-lga1200-6-mb-cache-65-w-islemci-fiyatlari,775489056",Intel Core i3-10105 3.7 GHz LGA1200 6 MB Cache 65 W İşlemci,2199.0,2659.0,14.237,3,5,336,320
Celeron,İntel Celeron,Intel Celeron G6900,,3.1,2.0,3.1,"https://www.cimri.com/islemci/en-ucuz-intel-celeron-g4900-3-1-ghz-1151p-islemci-fiyatlari,146363877",Intel Celeron G4900 3.10 GHz 1151P Çift Çekirdekli İşlemci,819.0,1417.0,4.415,5,160,309,56
Core i3,İntel Core i3,Intel Core i7-13700,7.Nesil,3.9,2.0,3.9,"https://www.cimri.com/islemci/en-ucuz-intel-core-i3-7100-3-9ghz-1151pin-islemci-fiyatlari,36358338",Intel Core i3 7100 3.90 GHz 1151Pin Çift Çekirdekli İşlemci,1399.0,1699.0,40.028,3,293,293,123
Ryzen 7,AMD Ryzen,AMD Ryzen 7 5700G,5.Nesil,4.6,8.0,3.8,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-7-5700g-3-8ghz-16mb-am4-box-65w-radeon-graphics-islemci-fiyatlari,912477714",Amd Ryzen 7 5700G 3.8ghz 16MB Am4 Box (65W) +Radeon Graphıcs Işlemci,4487.16,4487.0,24.612,0,191,45,101
Core i7,İntel Core i7,Intel Core i7-12700,,3.4,4.0,3.4,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-2600-3-4ghz-1155pin-islemci-fiyatlari,1027274",Intel Core i7 2600 3.40 GHz 1155Pin 4 Çekirdekli İşlemci,1697.0,1920.0,31.142,3,16,19,305
Core i3,Intel Core,Intel Core i3-12100,12.Nesil,4.3,4.0,3.3,"https://www.cimri.com/islemci/en-ucuz-intel-core-ci3-12100-3-3-ghz-12-mb-fanli-box-1700p-islemci-fiyatlari,1476999440",Intel Core CI3 12100 3.3 Ghz 12 MB Fanlı Box 1700P İşlemci,2813.7,3159.0,13.809,3,139,192,360
Ryzen 3,AMD Ryzen,AMD Ryzen 3 1200,1.Nesil,3.4,4.0,3.1,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-3-1200-3-1ghz-10mb-am4-65w-kutulu-islemci-box-fiyatlari,524597968",Amd Ryzen 3 1200 3.1Ghz 10Mb Am4 (65W) Kutulu İşlemci Box,1149.0,1427.0,6.311,3,368,147,368
Core i5,Intel Core,Intel Core i5-12600,12.Nesil,4.8,6.0,3.3,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-12600-4-80-ghz-6-cekirdek-18mb-1700p-10mm-islemci-fiyatlari,1216728326",Intel Core i5 12600 4.80 GHz 6 Çekirdek 18MB 1700P 10MM İşlemci,5820.82,6845.0,21.372,0,72,292,323
Core i7,Intel Core,Intel Core i7-12700K,12.Nesil,5.0,12.0,3.6,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-12700k-3-60-ghz-25-mb-12-nesil-1700p-box-fansiz-islemci-fiyatlari,1061756419",Intel Core İ7-12700K 3.60 GHz 25 MB 12. Nesil 1700P Box Fansız İşlemci,8130.92,9048.0,34.758,0,323,44,187
Core i5,Intel Core,Intel Core i5-12400,12.Nesil,4.4,6.0,2.5,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-12400-2-50ghz-18mb-1700p-12-nesil-fanli-islemci-fiyatlari,1847159684",Intel Core i5-12400 2.50Ghz 18MB 1700p 12. Nesil Fanlı İşlemci,3987.92,4595.0,19.532,6,72,223,250
Ryzen 5 Pro,AMD Ryzen,AMD Ryzen 5 PRO 5650GE,5.Nesil,4.4,6.0,3.4,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-5650ge-pro-4-4-ghz-16-mb-am4-35-w-tray-islemci-fiyatlari,1071577272",AMD Ryzen 5 5650GE Pro 4.4 GHZ 16 MB AM4 35 W Tray İşlemci,3544.84,4638.0,18.592,3,73,359,349
Core i7,Intel Core,Intel Core i7-13700,10.Nesil,4.8,8.0,2.9,"https://www.cimri.com/islemci/en-ucuz-intel-bx8070110700-core-i7-10700-2-9-ghz-16-mb-islemci-fiyatlari,733138056",Intel BX8070110700 Core i7-10700 2.9 GHz 16 Mb İşlemci,5539.17,5950.0,40.028,6,341,57,341
Core i9,Intel Core,Intel Core i9-12900K,12.Nesil,5.2,16.0,3.2,"https://www.cimri.com/islemci/en-ucuz-intel-bx8071512900k-core-i9-12900k-12-generation-masaustu-islemci-fiyatlari,1193184666",Intel BX8071512900K Core i9-12900K 12. Generation Masaüstü İşlemci,11230.36,11757.0,41.589,2,346,211,92
Core i9,Intel Core,Intel Core i9-13900KF,13.Nesil,5.8,24.0,3.0,"https://www.cimri.com/islemci/en-ucuz-intel-core-i9-13900kf-3-0-ghz-turbo-5-80-ghz-36-mb-cache-24-cekirdek-lga-1700-13-nesil-islemci-fiyatlari,2077398740",Intel Core i9 13900KF 3.0 GHz Turbo 5.80 GHz 36 MB Cache 24 Çekirdek LGA 1700 13. Nesil İşlemci,12489.99,13827.0,59.761,2,71,71,157
Ryzen 5,AMD Ryzen,AMD Ryzen 5 3600,3.Nesil,4.2,6.0,3.6,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-3600-36ghz-35mb-cache-soket-am4-islemci-fiyatlari,938179920","AMD Ryzen 5 3600 3,6GHz 35MB Cache Soket AM4 İşlemci",3105.76,4061.0,17.794,3,163,271,295
Core i5,Intel Core,Intel Core i5-12600K,12.Nesil,4.9,10.0,3.7,"https://www.cimri.com/islemci/en-ucuz-intel-bx8071512600k-cpu-12600k-ci5-4-9-ghz-10-cekirdek-20-mb-lga1700-10nm-islemci-fiyatlari,1325901322",Intel BX8071512600K Cpu 12600K Ci5 4.9 Ghz 10 Çekirdek 20 Mb LGA1700 10Nm İşlemci,6886.24,7318.0,27.789,0,201,189,351
Ryzen 7,AMD Ryzen,AMD Ryzen 7 5800X,5.Nesil,4.7,8.0,3.8,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-tray-7-5800x-3-8-ghz-turbo-4-7-ghz-8-core-16-threads-32-mb-cache-7nm-am4-islemci-fiyatlari,1271999320",AMD Ryzen Tray 7 5800X 3.8 GHZ Turbo 4.7 GHZ 8 Core 16 Threads 32 MB Cache 7nm AM4 İşlemci,5579.0,5728.0,28.086,0,236,4,191
Ryzen 9,AMD Ryzen,AMD Ryzen 9 5950X,5.Nesil,4.9,16.0,3.4,"https://www.cimri.com/islemci/en-ucuz-amd-100-100000059wof-ryzen-9-5950x4-9ghz-64mb-105w-am4-islemci-fiyatlari,1024551909",AMD 100-100000059WOF Ryzen 9 5950x4.9GHZ 64MB 105W AM4 İşlemci,13235.2,14614.0,45.889,2,291,24,157
Core i7,Intel Core,Intel Core i7-13700K,11.Nesil,5.0,8.0,3.6,"https://www.cimri.com/islemci/en-ucuz-intel-11-nesil-i7-11700k-3-60ghz-16m-fclga1200-cpu-islemci-fiyatlari,1295186339",Intel 11.Nesil I7 11700K 3.60GHz 16M FCLGA1200 CPU İşlemci,6641.83,8869.0,47.03,0,137,220,193
Core i9,Intel Core,Intel Core i9-13900KF,10.Nesil,5.3,10.0,3.7,"https://www.cimri.com/islemci/en-ucuz-intel-i9-10900kf-3-7ghz-20mb-lga1200-islemci-fiyatlari,668913998",Intel i9 10900KF 3.7GHZ 20MB LGA1200 İşlemci,10928.0,11329.0,59.761,0,170,32,174
Pentium Gold,Intel Pentium,Intel Pentium Gold G7400,10.Nesil,4.0,2.0,4.0,"https://www.cimri.com/islemci/en-ucuz-intel-pentium-gold-g6400-4-0ghz-4mb-lga1200-islemci-fiyatlari,663620669",Intel Pentium Gold G6400 4.0GHz 4MB LGA1200 İşlemci,1306.9,1830.0,6.769,3,177,177,105
AMD,Ryzen 7,AMD Ryzen 7 3800XT,3.Nesil,4.7,8.0,4.7,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-7-3800xt-8-cekirdek-36mb-soket-am4-islemci-fiyatlari,617265830",AMD Ryzen 7 3800XT 8 Çekirdek 36MB Soket AM4 İşlemci,9389.0,9920.0,23.734,0,38,238,352
Xeon Gold,Intel Xeon,Intel Xeon 2.80GHz,2.Nesil,4.0,20.0,2.1,"https://www.cimri.com/islemci/en-ucuz-lenovo-intel-xeon-gold-4xg7a63272-islemci-fiyatlari,711372609",Lenovo intel xeon gold 4XG7A63272 İşlemci,53368.0,57776.0,260.0,4,175,230,126
Xeon Gold,Intel Xeon,Intel Xeon 2.80GHz,2.Nesil,3.9,16.0,2.3,"https://www.cimri.com/islemci/en-ucuz-hpe-p02498-b21-dl380-gen10-xeon-g-5218-kit-fiyatlari,446058851",HPE P02498-B21 DL380 GEN10 XEON-G 5218 Kit,36172.46,38340.0,260.0,4,218,230,207
Core i5,Intel Core,Intel Core i5-13600KF,11.Nesil,4.9,6.0,3.9,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-11600kf-3-9-ghz-12mb-lga1200p-islemci-fiyatlari,773078722",Intel Core i5-11600KF 3.9 Ghz 12MB LGA1200P İşlemci,5314.58,5893.0,38.395,0,7,185,131
Core i9,Intel Core,Intel Core i9-13900,11.Nesil,5.2,8.0,2.5,"https://www.cimri.com/islemci/en-ucuz-intel-core-i9-11900-2-5ghz-lga1200-16mb-islemci-fiyatlari,773472392",Intel Core i9 11900 2.5GHZ LGA1200 16MB İşlemci,9479.0,11039.0,50.765,6,97,231,355
Ryzen 5,AMD Ryzen,AMD Ryzen 5 5600X,5.Nesil,4.6,6.0,3.7,"https://www.cimri.com/islemci/en-ucuz-amd-100-100000065box-ryzen-5-5600x3-7ghz-35mb-am4-65w-islemci-fiyatlari,1024551468",AMD 100-100000065BOX Ryzen 5 5600x3.7GHZ 35MB AM4 65W İşlemci,3628.05,3793.0,21.931,0,342,89,163
Core i5,İntel Core i5,Intel Core i5-13600,4.Nesil,3.8,4.0,3.4,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-4670-3-4ghz-1150pin-islemci-fiyatlari,616357",Intel Core i5 4670 3.4GHz 4 Çekirdekli 1150Pin İşlemci,1298.0,1672.0,32.185,3,249,272,300
Core i5,Intel Core,Intel Core i5-13600KF,11.Nesil,4.9,6.0,3.9,"https://www.cimri.com/islemci/en-ucuz-intel-11-nesil-i5-11600kf-3-90-ghz-12-m-fclga1200-fansiz-cpu-islemci-box-fiyatlari,1032283465",Intel 11. Nesil İ5 11600KF 3.90 Ghz 12 m FCLGA1200 Fansız Cpu İşlemci Box,5226.66,5721.0,38.395,0,156,185,127
Core i7,Intel Core,Intel Core i7-13700,10.Nesil,4.8,8.0,2.9,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-10700-2-90-ghz-8-cekirdek-16mb-1200p-14mm-islemci-fiyatlari,1319411093",Intel Core i7 10700 2.90 GHz 8 Çekirdek 16MB 1200P 14MM İşlemci,5703.87,6039.0,40.028,6,341,57,114
Core i7,Intel Core,Intel Core i7-12700,12.Nesil,4.9,12.0,2.1,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-12700-4-80-ghz-12-cekirdek-25mb-1700p-10mm-islemci-fiyatlari,1267239926",Intel Core i7 12700 4.80 GHz 12 Çekirdek 25MB 1700P 10MM İşlemci,7539.73,7858.0,31.142,2,75,200,99
Celeron G,Intel Celeron,Intel Celeron G6900,9.Nesil,3.5,2.0,3.5,"https://www.cimri.com/islemci/en-ucuz-intel-celeron-g5925-3-6ghz-4mb-lga1200p-islemci-fiyatlari,1273828991",Intel Celeron G5925 3.6GHz 4MB Lga1200p İşlemci,1198.5,1394.0,4.415,3,138,167,68
Core i7,Intel Core,Intel Core i7-12700KF,12.Nesil,5.0,12.0,3.6,"https://www.cimri.com/islemci/en-ucuz-intel-i7-12700kf-2-7-ghz-5-0-ghz-25mb-lga1700p-islemci-fiyatlari,992726873",Intel i7-12700KF 2.7 GHz 5.0 GHz 25MB LGA1700P İşlemci,7829.9,8588.0,34.532,0,44,346,269
Core i5,Intel Core,Intel Core i5-13600KF,10.Nesil,4.8,6.0,4.1,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-10600kf-4-10ghz-12mb-1200p-islemci-fiyatlari,747554071",Intel Core i5-10600KF 4.10Ghz 12MB 1200P İşlemci,4042.0,5095.0,38.395,0,51,380,66
Core i7,Intel Core,Intel Core i7-13700F,11.Nesil,4.9,8.0,2.5,"https://www.cimri.com/islemci/en-ucuz-intel-fclga1200-11-nesil-i7-11700f-2-90ghz-16m-cpu-islemci-fiyatlari,1018170937",Intel FCLGA1200 11.Nesil  i7-11700F 2.90GHz 16M CPU İşlemci,5799.91,7450.0,38.686,6,121,371,334
Celeron G,Intel Celeron,Intel Celeron G6900,10.Nesil,3.4,2.0,3.4,"https://www.cimri.com/islemci/en-ucuz-intel-celeron-g6900-3-4-ghz-4mb-lga1700p-islemci-fiyatlari,1273829594",Intel Celeron G6900 3.4 GHz 4MB LGA1700P İşlemci,1085.6,1233.0,4.415,3,44,298,98
Core i3,Intel Core,Intel Core i3-12100F,12.Nesil,4.3,4.0,3.3,"https://www.cimri.com/islemci/en-ucuz-intel-core-ci3-12100f-3-3-ghz-12-mb-box-1700p-fanli-islemci-fiyatlari,1476999427",Intel Core CI3 12100F 3.3 Ghz 12 MB Box 1700P Fanlı İşlemci,2299.15,2730.0,14.321,3,108,345,64
Core i5,Intel Core,Intel Core i5-12400F,12.Nesil,4.4,6.0,2.5,"https://www.cimri.com/islemci/en-ucuz-intel-core-ci5-12400f-2-50-ghz-18-mb-box-1700p-islemci-fiyatlari,1194620343",Intel Core CI5 12400F 2.50 Ghz 18 MB Box 1700P İşlemci,3506.9,3804.0,19.73,6,335,37,353
Ryzen 3,AMD Ryzen,AMD Ryzen 3 1200,1.Nesil,3.4,4.0,3.1,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-3-1200-3-10-ghz-8-mb-am4-tray-islemci-fiyatlari,1195525827",AMD RYZEN 3 1200 3.10 GHz 8 mb AM4 Tray İşlemci,1414.96,1518.0,6.311,3,73,368,109
Core i5,Intel Core,Intel Core i5-13400F,11.Nesil,4.4,6.0,2.6,"https://www.cimri.com/islemci/en-ucuz-intel-fclga1200-11-nesil-i5-11400f-2-60ghz-12m-cpu-islemci-fiyatlari,1195620445",Intel FCLGA1200 11.Nesil i5 11400F 2.60GHz 12M CPU İşlemci,2499.0,3166.0,25.779,6,121,7,173
Core i9,Intel Core,Intel Core i9-13900KF,11.Nesil,5.3,8.0,3.5,"https://www.cimri.com/islemci/en-ucuz-intel-bx8070811900kf-i9-11900kf-3-5ghz-16mb-lga1200-14nm-gaming-islemci-fiyatlari,869578552",Intel BX8070811900KF i9 11900KF 3.5GHz 16MB LGA1200 14nm Gaming İşlemci,7865.0,8020.0,59.761,0,97,97,321
Intel,Xeon,AMD Opteron 4284,2.Nesil,3.2,8.0,2.1,"https://www.cimri.com/islemci/en-ucuz-intel-xeon-4208-2-1-ghz-11-mb-kutu-islemci-fiyatlari,630667801",Intel Xeon 4208 2.1 GHz 11 MB Kutu İşlemci,14798.91,35209.0,4.665,6,357,286,154
Pentium,İntel Pentium,Intel Pentium 4 3.20GHz,,3.0,2.0,3.0,"https://www.cimri.com/islemci/en-ucuz-intel-pentium-g3220-3ghz-1150pin-islemci-fiyatlari,803619",Intel Pentium G3220 3.00 GHz Çift Çekirdekli 1150Pin İşlemci,389.0,540.0,334.0,1,91,314,338
Intel,Core i5,Intel Core i5-13600,10.Nesil,4.8,6.0,3.3,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-10600-3-3-ghz-12mb-lga1200p-islemci-fiyatlari,618210204",Intel Core i5-10600 3.3 Ghz 12MB LGA1200P İşlemci,5281.24,5499.0,32.185,0,7,110,292
Ryzen 3,AMD Ryzen,AMD Ryzen 3 1200,1.Nesil,3.4,4.0,3.1,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-3-1200-dort-cekirdek-3-10-ghz-islemci-fiyatlari,383711562",AMD Ryzen 3 1200 Dört Çekirdek 3.10 GHz İşlemci,1340.38,1399.0,6.311,3,141,109,368
Ryzen 5 Pro,AMD Ryzen,AMD Ryzen 5 PRO 5650G,5.Nesil,4.4,6.0,3.9,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-5650g-pro-4-4ghz-16mb-am4-65w-tray-islemci-fiyatlari,969297300",AMD Ryzen 5 5650G PRO 4.4GHZ 16MB AM4 65W Tray İşlemci,5089.34,5418.0,20.094,0,76,15,31
